# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
31.0,0.0,0.453,0.108,0.198,1.0,0.241,0.0,0.0,0.156,0.563,0.348,0.357,0.67,0.472,0.451,0.0,0.0,0.0,34.0,0.0,6.6,0.472,37.0,NBA,702.0,"C,PF",2004-05,TOT,Alonzo Mourning
21.0,0.0,0.427,0.133,0.227,1.0,0.213,0.0,0.0,0.14,0.516,0.4,0.382,0.706,0.453,0.438,0.0,0.0,0.0,34.0,0.0,7.2,0.453,18.0,NBA,457.0,PF,2004-05,NJN,Alonzo Mourning
10.0,0.0,0.516,0.048,0.129,1.0,0.306,0.0,0.0,0.194,0.656,0.0,0.25,0.594,0.516,0.474,0.0,0.0,0.0,34.0,0.0,4.9,0.516,19.0,NBA,245.0,C,2004-05,MIA,Alonzo Mourning
74.0,0.0,0.549,0.067,0.041,0.997,0.34,0.003,0.0,0.241,0.775,0.238,0.462,0.622,0.599,0.402,0.0,0.0,0.0,35.0,0.0,3.7,0.597,65.0,NBA,1302.0,C,2005-06,MIA,Alonzo Mourning
86.0,0.0,0.482,0.056,0.024,1.0,0.438,0.0,0.0,0.219,0.722,0.208,0.1,0.655,0.56,0.452,0.0,0.0,0.0,36.0,0.0,3.9,0.56,77.0,NBA,1572.0,C,2006-07,MIA,Alonzo Mourning
20.0,0.0,0.453,0.032,0.011,1.0,0.505,0.0,0.0,0.232,0.721,0.333,0.0,0.577,0.547,0.417,0.0,0.0,0.0,37.0,0.0,3.9,0.547,25.0,NBA,389.0,C,2007-08,MIA,Alonzo Mourning
11.0,0.0,0.667,0.083,0.05,0.983,0.183,0.017,0.0,0.2,0.525,0.2,0.667,0.76,0.424,0.091,0.0,0.0,0.0,26.0,0.0,8.4,0.417,31.0,NBA,153.0,PF,1996-97,MIA,Mark Strickland
67.0,0.0,0.535,0.134,0.134,0.996,0.19,0.004,0.0,0.26,0.743,0.222,0.306,0.752,0.541,0.353,0.0,0.0,0.0,27.0,1.0,7.6,0.539,51.0,NBA,847.0,PF,1997-98,MIA,Mark Strickland
22.0,0.0,0.554,0.089,0.129,0.99,0.218,0.01,0.0,0.248,0.714,0.222,0.154,0.76,0.5,0.273,0.0,0.0,0.0,28.0,0.0,8.0,0.495,32.0,NBA,357.0,PF,1998-99,MIA,Mark Strickland
49.0,0.0,0.464,0.161,0.228,1.0,0.147,0.0,0.0,0.237,0.788,0.333,0.314,0.779,0.545,0.364,0.0,0.0,0.0,29.0,0.0,9.0,0.545,58.0,NBA,663.0,SF,1999-00,MIA,Mark Strickland
21.0,0.0,0.364,0.192,0.351,0.992,0.084,0.008,0.5,0.1,0.598,0.304,0.381,0.725,0.43,0.2,1.0,0.5,1.0,30.0,0.0,10.0,0.431,55.0,NBA,719.0,SF,2000-01,TOT,Mark Strickland
19.0,0.0,0.378,0.205,0.319,0.995,0.092,0.005,0.0,0.114,0.614,0.316,0.39,0.78,0.446,0.235,0.0,0.0,0.0,30.0,0.0,9.5,0.443,46.0,NBA,517.0,SF,2000-01,DEN,Mark Strickland
2.0,0.0,0.315,0.148,0.463,0.981,0.056,0.019,1.0,0.056,0.529,0.25,0.36,0.5,0.377,0.0,1.0,1.0,1.0,30.0,0.0,11.5,0.389,9.0,NBA,202.0,SF,2000-01,NJN,Mark Strickland
29.0,0.0,0.417,0.176,0.275,0.98,0.113,0.02,0.5,0.157,0.612,0.278,0.393,0.744,0.45,0.261,1.0,0.25,0.5,31.0,0.0,8.7,0.446,46.0,NBA,654.0,SF,2001-02,ATL,Mark Strickland
1.0,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,32.0,0.0,3.0,0.4,4.0,NBA,13.0,SF,2002-03,DAL,Mark Strickland
125.0,0.0,0.535,0.154,0.084,0.997,0.225,0.003,0.0,0.172,0.646,0.355,0.485,0.702,0.534,0.407,0.0,0.0,0.0,34.0,0.0,8.0,0.532,79.0,NBA,2661.0,C,1996-97,DET,Otis Thorpe
45.0,0.0,0.393,0.159,0.152,0.992,0.288,0.008,0.0,0.075,0.657,0.283,0.379,0.629,0.475,0.383,0.0,0.0,0.0,35.0,3.0,8.0,0.471,74.0,NBA,2197.0,PF,1997-98,TOT,Otis Thorpe
33.0,0.0,0.405,0.179,0.13,0.991,0.277,0.009,0.0,0.079,0.638,0.273,0.411,0.639,0.481,0.42,0.0,0.0,0.0,35.0,2.0,7.7,0.477,47.0,NBA,1574.0,PF,1997-98,VAN,Otis Thorpe
12.0,0.0,0.366,0.113,0.201,0.995,0.314,0.005,0.0,0.067,0.704,0.318,0.333,0.607,0.461,0.311,0.0,0.0,0.0,35.0,1.0,8.8,0.459,27.0,NBA,623.0,PF,1997-98,SAC,Otis Thorpe
20.0,0.0,0.33,0.177,0.186,0.995,0.302,0.005,0.0,0.045,0.738,0.474,0.476,0.713,0.548,0.429,0.0,0.0,0.0,36.0,1.0,8.1,0.545,49.0,NBA,1539.0,PF,1998-99,WAS,Otis Thorpe
12.0,0.0,0.28,0.21,0.243,0.988,0.255,0.012,0.0,0.058,0.691,0.412,0.458,0.76,0.521,0.484,0.0,0.0,0.0,37.0,1.0,10.5,0.514,51.0,NBA,777.0,PF,1999-00,MIA,Otis Thorpe
6.0,0.0,0.382,0.16,0.282,1.0,0.176,0.0,0.0,0.053,0.64,0.286,0.324,0.712,0.45,0.391,0.0,0.0,0.0,38.0,0.0,8.7,0.45,49.0,NBA,647.0,PF,2000-01,CHH,Otis Thorpe
0.0,0.0,0.237,0.071,0.206,0.545,0.031,0.455,0.068,0.0,0.636,0.304,0.507,0.484,0.514,0.1,0.772,0.385,0.5,26.0,0.0,17.3,0.455,59.0,NBA,1041.0,SG,1996-97,PHI,Rex Walters
0.0,0.0,0.17,0.113,0.283,0.585,0.019,0.415,0.091,0.0,0.667,0.5,0.6,0.556,0.581,0.0,1.0,0.273,0.0,27.0,0.0,18.0,0.453,38.0,NBA,235.0,SG,1997-98,TOT,Rex Walters
0.0,0.0,0.172,0.069,0.241,0.517,0.034,0.483,0.071,0.0,0.4,0.5,0.714,0.375,0.533,0.0,1.0,0.214,0.0,27.0,0.0,18.2,0.379,19.0,NBA,127.0,SG,1997-98,PHI,Rex Walters
0.0,0.0,0.167,0.167,0.333,0.667,0.0,0.333,0.125,0.0,1.0,0.5,0.5,0.7,0.625,0.0,1.0,0.375,0.0,27.0,0.0,17.7,0.542,19.0,NBA,108.0,SG,1997-98,MIA,Rex Walters
0.0,0.0,0.211,0.063,0.316,0.6,0.021,0.4,0.184,0.0,0.55,0.167,0.367,0.565,0.404,0.0,1.0,0.316,0.429,28.0,0.0,18.4,0.368,33.0,NBA,506.0,SG,1998-99,MIA,Rex Walters
0.0,0.0,0.187,0.099,0.396,0.78,0.099,0.22,0.25,0.0,0.824,0.444,0.361,0.333,0.465,0.222,1.0,0.25,0.4,29.0,0.0,16.2,0.418,33.0,NBA,389.0,PG,1999-00,MIA,Rex Walters
75.0,0.0,0.419,0.218,0.196,0.993,0.159,0.007,0.0,0.092,0.55,0.356,0.535,0.66,0.493,0.481,1.0,0.167,0.0,26.0,0.0,10.1,0.491,82.0,NBA,2949.0,SF,1996-97,PHI,Clarence Weatherspoon
53.0,0.0,0.375,0.174,0.109,1.0,0.342,0.0,0.0,0.099,0.605,0.283,0.5,0.713,0.441,0.322,0.0,0.0,0.0,27.0,0.0,7.6,0.441,79.0,NBA,2325.0,PF,1997-98,TOT,Clarence Weatherspoon
22.0,0.0,0.42,0.157,0.103,1.0,0.32,0.0,0.0,0.079,0.525,0.346,0.5,0.745,0.426,0.311,0.0,0.0,0.0,27.0,0.0,7.5,0.426,48.0,NBA,1290.0,PF,1997-98,PHI,Clarence Weatherspoon
31.0,0.0,0.321,0.195,0.116,1.0,0.368,0.0,0.0,0.123,0.73,0.222,0.5,0.677,0.458,0.333,0.0,0.0,0.0,27.0,0.0,7.8,0.458,31.0,NBA,1035.0,PF,1997-98,GSW,Clarence Weatherspoon
26.0,0.0,0.409,0.205,0.114,1.0,0.273,0.0,0.0,0.121,0.676,0.426,0.6,0.674,0.534,0.375,0.0,0.0,0.0,28.0,0.0,8.2,0.534,49.0,NBA,1040.0,SF,1998-99,MIA,Clarence Weatherspoon
54.0,0.0,0.406,0.186,0.136,1.0,0.272,0.0,0.0,0.143,0.671,0.449,0.439,0.688,0.513,0.36,0.0,0.0,0.0,29.0,0.0,8.4,0.513,78.0,NBA,1615.0,PF,1999-00,MIA,Clarence Weatherspoon
48.0,0.0,0.465,0.145,0.085,1.0,0.305,0.0,0.0,0.082,0.63,0.41,0.441,0.631,0.501,0.365,0.0,0.0,0.0,30.0,0.0,5.6,0.501,82.0,NBA,2774.0,PF,2000-01,CLE,Clarence Weatherspoon
25.0,0.0,0.438,0.177,0.162,1.0,0.223,0.0,0.0,0.069,0.47,0.4,0.411,0.698,0.418,0.337,0.0,0.0,0.0,31.0,0.0,6.7,0.418,56.0,NBA,1728.0,PF,2001-02,NYK,Clarence Weatherspoon
42.0,0.0,0.565,0.167,0.114,1.0,0.155,0.0,0.0,0.123,0.509,0.377,0.447,0.688,0.449,0.313,0.0,0.0,0.0,32.0,0.0,5.2,0.449,79.0,NBA,2024.0,PF,2002-03,NYK,Clarence Weatherspoon
8.0,0.0,0.46,0.161,0.204,0.995,0.171,0.005,1.0,0.057,0.588,0.5,0.465,0.663,0.495,0.278,0.0,0.0,0.0,33.0,0.0,7.2,0.493,52.0,NBA,868.0,PF,2003-04,TOT,Clarence Weatherspoon
4.0,0.0,0.35,0.175,0.275,1.0,0.2,0.0,0.0,0.1,0.714,0.571,0.364,0.722,0.45,0.0,0.0,0.0,0.0,33.0,0.0,8.6,0.45,15.0,NBA,216.0,PF,2003-04,NYK,Clarence Weatherspoon
4.0,0.0,0.485,0.158,0.187,0.994,0.164,0.006,1.0,0.047,0.566,0.481,0.5,0.651,0.506,0.357,0.0,0.0,0.0,33.0,0.0,6.8,0.503,37.0,NBA,652.0,PF,2003-04,HOU,Clarence Weatherspoon
1.0,0.0,0.36,0.246,0.254,1.0,0.14,0.0,0.0,0.018,0.537,0.286,0.379,0.745,0.412,0.375,0.0,0.0,0.0,34.0,0.0,9.0,0.412,40.0,NBA,525.0,PF,2004-05,HOU,Clarence Weatherspoon
21.0,1.0,0.251,0.189,0.133,0.672,0.098,0.328,0.171,0.025,0.474,0.413,0.438,0.388,0.448,0.461,0.778,0.393,0.49,21.0,3.0,15.2,0.43,82.0,NBA,2532.0,SG,1996-97,MIL,Ray Allen
35.0,1.0,0.185,0.213,0.223,0.72,0.1,0.28,0.155,0.03,0.617,0.407,0.437,0.385,0.453,0.282,0.761,0.364,0.386,22.0,14.0,15.8,0.428,82.0,NBA,3287.0,SG,1997-98,MIL,Ray Allen
31.0,0.0,0.223,0.178,0.181,0.691,0.108,0.309,0.274,0.048,0.653,0.4,0.393,0.419,0.492,0.479,0.851,0.356,0.456,23.0,2.0,15.2,0.45,50.0,NBA,1719.0,SG,1998-99,MIL,Ray Allen
54.0,0.0,0.195,0.223,0.166,0.712,0.128,0.288,0.273,0.043,0.596,0.417,0.427,0.421,0.468,0.414,0.855,0.423,0.459,24.0,12.0,15.1,0.455,82.0,NBA,3070.0,SG,1999-00,MIL,Ray Allen
31.0,0.0,0.235,0.183,0.14,0.643,0.086,0.357,0.27,0.027,0.659,0.418,0.41,0.437,0.506,0.429,0.856,0.433,0.5,25.0,1.0,14.7,0.48,82.0,NBA,3129.0,SG,2000-01,MIL,Ray Allen
27.0,0.0,0.167,0.176,0.108,0.54,0.089,0.46,0.25,0.028,0.547,0.455,0.46,0.449,0.485,0.461,0.769,0.434,0.447,26.0,8.0,16.9,0.462,69.0,NBA,2525.0,SG,2001-02,MIL,Ray Allen
25.0,0.0,0.165,0.185,0.132,0.609,0.127,0.391,0.242,0.02,0.613,0.492,0.394,0.327,0.478,0.37,0.796,0.377,0.364,27.0,4.0,15.7,0.439,76.0,NBA,2880.0,SG,2002-03,TOT,Ray Allen
14.0,0.0,0.161,0.202,0.127,0.613,0.123,0.387,0.228,0.017,0.612,0.475,0.412,0.412,0.463,0.303,0.805,0.395,0.31,27.0,3.0,15.8,0.437,47.0,NBA,1683.0,SG,2002-03,MIL,Ray Allen
11.0,0.0,0.171,0.161,0.139,0.604,0.132,0.396,0.261,0.023,0.615,0.522,0.372,0.213,0.5,0.459,0.782,0.351,0.431,27.0,1.0,15.5,0.441,29.0,NBA,1197.0,SG,2002-03,SEA,Ray Allen
20.0,0.0,0.181,0.146,0.164,0.628,0.138,0.372,0.225,0.021,0.701,0.378,0.407,0.371,0.468,0.329,0.797,0.392,0.447,28.0,3.0,15.3,0.44,56.0,NBA,2152.0,SG,2003-04,SEA,Ray Allen
27.0,0.0,0.185,0.138,0.201,0.628,0.103,0.372,0.185,0.021,0.606,0.398,0.415,0.311,0.459,0.364,0.804,0.376,0.369,29.0,5.0,15.8,0.428,78.0,NBA,3064.0,SG,2004-05,SEA,Ray Allen
16.0,0.0,0.145,0.123,0.197,0.565,0.1,0.435,0.17,0.011,0.628,0.451,0.447,0.337,0.486,0.4,0.751,0.412,0.432,30.0,4.0,17.2,0.454,78.0,NBA,3022.0,SG,2005-06,SEA,Ray Allen
9.0,0.0,0.181,0.129,0.215,0.616,0.09,0.384,0.181,0.008,0.608,0.477,0.419,0.306,0.479,0.365,0.806,0.372,0.363,31.0,3.0,16.2,0.438,55.0,NBA,2219.0,SG,2006-07,SEA,Ray Allen
9.0,0.0,0.2,0.092,0.169,0.542,0.08,0.458,0.263,0.009,0.604,0.33,0.503,0.537,0.485,0.329,0.806,0.398,0.403,32.0,3.0,16.7,0.445,73.0,NBA,2624.0,SG,2007-08,BOS,Ray Allen
3.0,0.0,0.188,0.096,0.191,0.533,0.058,0.467,0.379,0.003,0.641,0.52,0.462,0.54,0.542,0.517,0.925,0.409,0.478,33.0,0.0,17.0,0.48,79.0,NBA,2876.0,SG,2008-09,BOS,Ray Allen
10.0,0.0,0.224,0.084,0.196,0.59,0.085,0.41,0.286,0.01,0.679,0.561,0.476,0.643,0.556,0.41,0.917,0.363,0.316,34.0,0.0,15.8,0.477,80.0,NBA,2819.0,SG,2009-10,BOS,Ray Allen
14.0,0.0,0.173,0.121,0.235,0.613,0.085,0.387,0.392,0.015,0.651,0.458,0.47,0.622,0.52,0.482,0.958,0.444,0.514,35.0,0.0,16.3,0.491,80.0,NBA,2890.0,SG,2010-11,BOS,Ray Allen
2.0,0.0,0.148,0.103,0.189,0.525,0.085,0.475,0.368,0.006,0.685,0.373,0.366,0.642,0.463,0.405,0.934,0.453,0.5,36.0,0.0,17.4,0.458,46.0,NBA,1565.0,SG,2011-12,BOS,Ray Allen
3.0,0.0,0.194,0.104,0.109,0.49,0.083,0.51,0.41,0.006,0.587,0.397,0.38,0.497,0.48,0.463,0.95,0.419,0.463,37.0,0.0,16.9,0.449,79.0,NBA,2035.0,SG,2012-13,MIA,Ray Allen
6.0,1.0,0.166,0.087,0.118,0.431,0.063,0.569,0.411,0.011,0.622,0.511,0.438,0.516,0.53,0.471,0.957,0.375,0.425,38.0,3.0,18.2,0.442,73.0,NBA,1936.0,SG,2013-14,MIA,Ray Allen
0.0,0.0,0.116,0.221,0.4,0.853,0.116,0.147,0.571,0.0,0.273,0.238,0.316,0.583,0.296,0.364,1.0,0.214,0.375,23.0,1.0,16.0,0.284,27.0,NBA,361.0,PG,1999-00,MIL,Rafer Alston
0.0,0.0,0.179,0.107,0.25,0.643,0.107,0.357,0.233,0.0,0.533,0.667,0.238,0.455,0.407,0.333,1.0,0.267,0.286,24.0,0.0,15.8,0.357,37.0,NBA,288.0,PG,2000-01,MIL,Rafer Alston
0.0,0.0,0.23,0.089,0.267,0.628,0.042,0.372,0.31,0.0,0.455,0.176,0.275,0.231,0.325,0.25,0.926,0.38,0.409,25.0,0.0,15.8,0.346,50.0,NBA,600.0,PG,2001-02,MIL,Rafer Alston
0.0,0.0,0.212,0.066,0.224,0.612,0.11,0.388,0.185,0.0,0.507,0.364,0.36,0.148,0.429,0.459,0.902,0.392,0.417,26.0,0.0,15.7,0.415,47.0,NBA,980.0,PG,2002-03,TOR,Rafer Alston
1.0,0.0,0.174,0.047,0.124,0.432,0.086,0.568,0.134,0.001,0.504,0.167,0.337,0.214,0.382,0.318,0.851,0.371,0.362,27.0,3.0,17.9,0.376,82.0,NBA,2581.0,PG,2003-04,MIA,Rafer Alston
0.0,0.0,0.302,0.049,0.147,0.601,0.103,0.399,0.1,0.0,0.514,0.396,0.392,0.152,0.451,0.38,0.547,0.357,0.308,28.0,1.0,14.3,0.414,80.0,NBA,2717.0,PG,2004-05,TOR,Rafer Alston
0.0,0.0,0.225,0.041,0.195,0.577,0.117,0.423,0.212,0.0,0.53,0.233,0.326,0.174,0.418,0.419,0.912,0.327,0.439,29.0,1.0,15.7,0.379,63.0,NBA,2431.0,PG,2005-06,HOU,Rafer Alston
0.0,0.0,0.22,0.043,0.106,0.481,0.113,0.519,0.174,0.0,0.487,0.227,0.296,0.272,0.389,0.348,0.797,0.363,0.272,30.0,0.0,16.4,0.375,82.0,NBA,3040.0,PG,2006-07,HOU,Rafer Alston
0.0,0.0,0.214,0.054,0.166,0.56,0.126,0.44,0.091,0.0,0.505,0.4,0.34,0.217,0.427,0.422,0.846,0.351,0.351,31.0,0.0,16.0,0.394,74.0,NBA,2526.0,PG,2007-08,HOU,Rafer Alston
0.0,0.0,0.279,0.051,0.126,0.596,0.14,0.404,0.097,0.0,0.445,0.286,0.417,0.118,0.417,0.409,0.804,0.338,0.344,32.0,3.0,14.5,0.385,77.0,NBA,2447.0,PG,2008-09,TOT,Rafer Alston
0.0,0.0,0.238,0.061,0.111,0.559,0.149,0.441,0.065,0.0,0.403,0.25,0.397,0.159,0.387,0.41,0.738,0.348,0.4,32.0,2.0,15.4,0.37,48.0,NBA,1591.0,PG,2008-09,HOU,Rafer Alston
0.0,0.0,0.352,0.034,0.151,0.661,0.124,0.339,0.168,0.0,0.495,0.4,0.444,0.066,0.462,0.405,0.969,0.317,0.294,32.0,1.0,13.0,0.413,29.0,NBA,856.0,PG,2008-09,ORL,Rafer Alston
0.0,0.0,0.233,0.049,0.173,0.623,0.168,0.377,0.19,0.0,0.404,0.318,0.26,0.124,0.349,0.373,0.828,0.345,0.406,33.0,1.0,14.7,0.348,52.0,NBA,1421.0,PG,2009-10,TOT,Rafer Alston
0.0,0.0,0.245,0.058,0.195,0.686,0.188,0.314,0.138,0.0,0.412,0.375,0.241,0.104,0.353,0.385,0.75,0.322,0.167,33.0,1.0,13.8,0.343,27.0,NBA,766.0,PG,2009-10,NJN,Rafer Alston
0.0,0.0,0.213,0.036,0.136,0.521,0.136,0.479,0.247,0.0,0.389,0.167,0.304,0.167,0.341,0.348,0.9,0.37,0.55,33.0,0.0,16.2,0.355,25.0,NBA,655.0,PG,2009-10,MIA,Rafer Alston
1.0,0.0,0.25,0.189,0.163,0.705,0.102,0.295,0.022,0.001,0.597,0.412,0.438,0.293,0.464,0.275,0.469,0.351,0.4,27.0,1.0,14.5,0.43,61.0,NBA,1714.0,PG,1996-97,TOT,Sam Cassell
0.0,0.0,0.324,0.178,0.091,0.743,0.149,0.257,0.048,0.0,0.628,0.326,0.364,0.383,0.453,0.278,0.368,0.306,0.333,27.0,0.0,13.0,0.415,22.0,NBA,539.0,PG,1996-97,PHO,Sam Cassell
1.0,0.0,0.224,0.139,0.212,0.703,0.127,0.297,0.0,0.006,0.622,0.435,0.457,0.309,0.474,0.286,0.533,0.306,0.0,27.0,0.0,14.2,0.424,16.0,NBA,398.0,PG,1996-97,DAL,Sam Cassell
0.0,0.0,0.215,0.218,0.188,0.682,0.061,0.318,0.017,0.0,0.556,0.451,0.451,0.225,0.467,0.261,0.489,0.392,0.5,27.0,1.0,15.6,0.443,23.0,NBA,777.0,PG,1996-97,NJN,Sam Cassell
2.0,0.0,0.216,0.242,0.376,0.931,0.096,0.069,0.1,0.002,0.58,0.379,0.49,0.331,0.46,0.279,0.6,0.188,0.125,28.0,3.0,13.9,0.441,75.0,NBA,2606.0,PG,1997-98,NJN,Sam Cassell
0.0,0.0,0.194,0.226,0.28,0.892,0.194,0.108,0.0,0.0,0.556,0.476,0.308,0.162,0.446,0.5,0.5,0.2,0.0,29.0,0.0,13.0,0.419,8.0,NBA,199.0,PG,1998-99,TOT,Sam Cassell
0.0,0.0,0.143,0.245,0.224,0.857,0.245,0.143,0.0,0.0,0.857,0.417,0.273,0.15,0.476,0.5,0.0,0.143,0.0,29.0,0.0,12.9,0.429,4.0,NBA,100.0,PG,1998-99,NJN,Sam Cassell
0.0,0.0,0.25,0.205,0.341,0.932,0.136,0.068,0.0,0.0,0.364,0.556,0.333,0.176,0.415,0.5,1.0,0.333,0.0,29.0,0.0,13.0,0.409,4.0,NBA,99.0,PG,1998-99,MIL,Sam Cassell
0.0,0.0,0.158,0.379,0.274,0.923,0.111,0.077,0.189,0.0,0.589,0.459,0.48,0.237,0.481,0.4,0.615,0.289,0.471,30.0,3.0,13.4,0.466,81.0,NBA,2899.0,PG,1999-00,MIL,Sam Cassell
0.0,0.0,0.14,0.413,0.258,0.913,0.103,0.087,0.316,0.0,0.601,0.471,0.503,0.333,0.49,0.385,0.833,0.306,0.387,31.0,1.0,13.2,0.474,76.0,NBA,2709.0,PG,2000-01,MIL,Sam Cassell
0.0,0.0,0.097,0.363,0.301,0.83,0.069,0.17,0.216,0.0,0.578,0.495,0.464,0.377,0.486,0.41,0.662,0.348,0.455,32.0,3.0,15.4,0.463,74.0,NBA,2605.0,PG,2001-02,MIL,Sam Cassell
0.0,0.0,0.131,0.352,0.262,0.86,0.114,0.14,0.227,0.0,0.605,0.479,0.436,0.351,0.487,0.496,0.847,0.362,0.432,33.0,3.0,14.1,0.47,78.0,NBA,2700.0,PG,2002-03,MIL,Sam Cassell
0.0,0.0,0.103,0.284,0.377,0.854,0.089,0.146,0.183,0.0,0.618,0.501,0.457,0.251,0.504,0.575,0.838,0.398,0.412,34.0,2.0,15.2,0.488,81.0,NBA,2838.0,PG,2003-04,MIN,Sam Cassell
0.0,0.0,0.086,0.227,0.488,0.85,0.049,0.15,0.155,0.0,0.661,0.436,0.493,0.318,0.5,0.588,0.815,0.262,0.563,35.0,5.0,16.9,0.464,59.0,NBA,1522.0,PG,2004-05,MIN,Sam Cassell
0.0,0.0,0.078,0.284,0.384,0.829,0.083,0.171,0.095,0.0,0.598,0.519,0.396,0.281,0.459,0.413,0.729,0.368,0.333,36.0,4.0,16.1,0.443,78.0,NBA,2653.0,PG,2005-06,LAC,Sam Cassell
0.0,0.0,0.115,0.258,0.352,0.826,0.101,0.174,0.083,0.0,0.569,0.453,0.391,0.262,0.444,0.46,0.844,0.294,0.333,37.0,0.0,15.1,0.418,58.0,NBA,1407.0,PG,2006-07,LAC,Sam Cassell
0.0,0.0,0.094,0.271,0.417,0.857,0.075,0.143,0.092,0.0,0.5,0.431,0.468,0.305,0.461,0.475,0.87,0.303,0.714,38.0,3.0,16.1,0.438,55.0,NBA,1274.0,PG,2007-08,TOT,Sam Cassell
0.0,0.0,0.109,0.291,0.381,0.866,0.085,0.134,0.074,0.0,0.568,0.462,0.471,0.284,0.486,0.529,0.857,0.259,0.5,38.0,2.0,15.4,0.455,38.0,NBA,975.0,PG,2007-08,LAC,Sam Cassell
0.0,0.0,0.046,0.208,0.531,0.831,0.046,0.169,0.136,0.0,0.0,0.296,0.464,0.39,0.38,0.167,0.889,0.409,1.0,38.0,1.0,18.1,0.385,17.0,NBA,299.0,PG,2007-08,BOS,Sam Cassell
0.0,0.0,0.123,0.251,0.348,0.821,0.099,0.179,0.071,0.0,0.51,0.413,0.57,0.617,0.501,0.468,0.75,0.314,0.5,30.0,0.0,15.4,0.467,72.0,NBA,2243.0,SG,1996-97,SAS,Vinny Del Negro
0.0,0.0,0.081,0.261,0.493,0.919,0.084,0.081,0.051,0.0,0.462,0.432,0.458,0.691,0.441,0.35,0.706,0.436,0.5,31.0,0.0,15.6,0.441,54.0,NBA,1721.0,SG,1997-98,SAS,Vinny Del Negro
0.0,0.0,0.126,0.311,0.367,0.889,0.085,0.111,0.133,0.0,0.5,0.333,0.505,0.475,0.421,0.261,0.692,0.433,0.25,32.0,0.0,15.1,0.422,48.0,NBA,1093.0,PG,1998-99,MIL,Vinny Del Negro
0.0,0.0,0.065,0.302,0.489,0.926,0.071,0.074,0.417,0.0,0.667,0.429,0.509,0.697,0.482,0.348,0.875,0.333,0.4,33.0,0.0,15.5,0.471,67.0,NBA,1211.0,PG,1999-00,MIL,Vinny Del Negro
0.0,1.0,0.077,0.256,0.517,0.944,0.094,0.056,0.231,0.0,0.667,0.55,0.421,0.562,0.475,0.409,1.0,0.077,0.0,34.0,1.0,15.3,0.453,65.0,NBA,922.0,PG,2000-01,TOT,Vinny Del Negro
0.0,1.0,0.067,0.289,0.444,0.9,0.1,0.1,0.111,0.0,1.0,0.423,0.25,0.483,0.358,0.222,1.0,0.111,0.0,34.0,1.0,15.6,0.333,29.0,NBA,396.0,PG,2000-01,GSW,Vinny Del Negro
0.0,0.0,0.083,0.236,0.563,0.972,0.09,0.028,0.5,0.0,0.5,0.647,0.506,0.592,0.543,0.538,0.0,0.0,0.0,34.0,0.0,15.0,0.528,36.0,NBA,526.0,PG,2000-01,PHO,Vinny Del Negro
0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,35.0,0.0,15.8,0.25,2.0,NBA,6.0,PG,2001-02,PHO,Vinny Del Negro
3.0,0.0,0.145,0.05,0.312,0.541,0.034,0.459,0.15,0.003,0.557,0.362,0.412,0.782,0.457,0.59,0.932,0.364,0.329,36.0,0.0,18.3,0.414,82.0,NBA,2940.0,SF,1996-97,DEN,Dale Ellis
3.0,0.0,0.119,0.103,0.349,0.609,0.036,0.391,0.223,0.004,0.687,0.319,0.52,0.864,0.519,0.52,0.984,0.464,0.541,37.0,0.0,18.2,0.497,79.0,NBA,1939.0,SF,1997-98,SEA,Dale Ellis
0.0,0.0,0.089,0.051,0.253,0.451,0.058,0.549,0.309,0.0,0.629,0.35,0.4,0.813,0.449,0.478,0.968,0.433,0.448,38.0,0.0,19.6,0.441,48.0,NBA,1232.0,SF,1998-99,SEA,Dale Ellis
0.0,0.0,0.063,0.094,0.189,0.371,0.025,0.629,0.32,0.0,0.9,0.4,0.4,0.828,0.492,0.5,1.0,0.37,0.406,39.0,0.0,20.5,0.415,42.0,NBA,564.0,SG,1999-00,TOT,Dale Ellis
0.0,0.0,0.089,0.079,0.168,0.356,0.02,0.644,0.385,0.0,0.889,0.625,0.529,0.833,0.667,1.0,1.0,0.354,0.36,39.0,0.0,20.1,0.465,18.0,NBA,324.0,SG,1999-00,MIL,Dale Ellis
0.0,0.0,0.017,0.121,0.224,0.397,0.034,0.603,0.2,0.0,1.0,0.143,0.231,0.8,0.217,0.0,1.0,0.4,0.571,39.0,0.0,21.1,0.328,24.0,NBA,240.0,SG,1999-00,CHH,Dale Ellis
21.0,0.0,0.726,0.048,0.097,1.0,0.129,0.0,0.0,0.355,0.622,0.667,0.5,0.697,0.532,0.0,0.0,0.0,0.0,23.0,0.0,7.3,0.532,36.0,NBA,318.0,SF,1996-97,TOT,Darvin Ham
